time_sent,temp,internal_resistance,p,innovation,time_recv,current,dt,cooling_power
1757100191.218275,298.408,0.5584016484562461,6.275189327131687e-09,3823.6594387766495,1757100191.4594126,5.33,1.2710769176483154,1500.0
1757100192.4972873,298.445,0.5588741214267849,6.287732948872346e-09,2654.2454187969324,1757100192.7447639,5.33,1.2790122032165527,1500.0
1757100193.781084,298.483,0.559349892716305,6.300301580441176e-09,2681.195005470881,1757100194.0581968,5.33,1.283796787261963,1500.0
1757100195.0952058,298.52,0.5594095413120589,6.312885070711515e-09,2621.347543428792,1757100195.3196125,5.71,1.3141217231750488,1500.0
1757100196.3562064,298.595,0.5874614879106778,6.241031710650509e-09,3072.109093872354,1757100196.5751085,38.25,1.261000633239746,1500.0
1757100197.6117408,298.636,0.6063042184701869,5.923139953122372e-09,1065.235922770147,1757100197.8891191,54.65,1.2555344104766846,1500.0
1757100198.9245057,298.676,0.6240504884874675,5.7658825495197165e-09,1384.781087068334,1757100199.1522808,47.15,1.3127648830413818,1500.0
1757100200.1890738,298.753,0.6512020428476047,5.690377180387732e-09,2932.173527422216,1757100200.490539,40.34,1.2645680904388428,1500.0
1757100201.5275753,298.793,0.6667885927509818,5.591159597718441e-09,1496.7254731604312,1757100201.752306,43.160000000000004,1.3385014533996582,1500.0
1757100202.797185,298.837,0.6421233804682233,4.909332452483206e-09,-368.31718212293663,1757100203.0754979,70.85000000000001,1.2696096897125244,1500.0
1757100204.1145225,298.928,0.6736599457273716,4.574076661052035e-09,1760.7041383376722,1757100204.4866815,62.58,1.3173375129699707,1500.0
1757100205.539768,298.968,0.6534653272081979,4.537457372359018e-09,1685.124181881038,1757100205.8552399,38.52,1.4252455234527588,1500.0
1757100206.8962083,299.01,0.6642924833971077,4.377204241561755e-09,847.5820726107411,1757100207.1541245,54.01,1.3564403057098389,1500.0
1757100208.204385,299.102,0.6600395997890094,3.755399167715845e-09,282.73197303799725,1757100208.4832318,78.66,1.3081767559051514,1500.0
1757100209.5435092,299.141,0.6551310351891909,3.7625067892521895e-09,2568.5981029878963,1757100209.7993844,13.11,1.3391242027282715,1500.0
1757100210.8458648,299.179,0.6569163282569876,3.7695607074546325e-09,2562.0801371460243,1757100211.1195447,13.6,1.3023555278778076,1500.0
1757100212.1720848,299.257,0.6756395294744322,3.69196337182309e-09,2248.074953277378,1757100212.4184575,49.71,1.3262200355529785,1500.0
1757100213.474847,299.3,0.6565362963616617,3.4745416484580646e-09,96.777324051508,1757100213.742971,64.67,1.3027622699737549,1500.0
1757100214.8019805,299.34,0.6629625518097577,3.465644816129179e-09,1971.26639173182,1757100215.131508,33.86,1.3271334171295166,1500.0
1757100217.221826,299.452,0.6563356516279721,3.47245637357276e-09,3298.301233547078,1757100217.544349,-10.26,2.4198455810546875,1500.0
1757100218.5997455,299.489,0.6557844658160714,3.4793489826272307e-09,2543.2676893152766,1757100218.8715122,-8.6,1.3779194355010986,1500.0
1757100223.0286922,299.638,0.6584500022431601,3.484721642531568e-09,2625.3083778273226,1757100223.3362281,-19.05,4.4289467334747314,1500.0
1757100224.3851707,299.713,0.6575191647592911,3.4912654935144063e-09,3603.834089167329,1757100224.647898,13.780000000000001,1.3564784526824951,1500.0
1757100225.7019439,299.754,0.6637113192746061,3.416451314801266e-09,960.036064882599,1757100225.99066,51.15,1.3167731761932373,1410.1000000000001
1757100228.075583,299.824,0.6567579543942703,3.4228679989798435e-09,2483.018200643779,1757100228.3927343,13.84,2.3736391067504883,1410.1000000000001
1757100229.4483104,299.894,0.6555794847863946,3.42971040650467e-09,3442.605177700016,1757100229.7148626,-6.17,1.372727394104004,1410.1000000000001
1757100230.774427,299.929,0.6567490546457926,3.4361465505128132e-09,2449.2713754749752,1757100231.026003,-13.870000000000001,1.3261165618896484,1500.0
1757100232.0848188,299.967,0.6580619507997915,3.4416021237557322e-09,2451.908172446344,1757100232.3152597,-18.64,1.310391902923584,1500.0
